COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,NUM_RECOVERED,NUM_DEATHS,NUM_CASES,NUM_ACTIVE,BEDS_PER_1K,TOTAL_BEDS
United States of America,Alabama,32.31823100000000,-86.90229800000000,9355,618,17359,7386,3.1,15278
United States of America,Alaska,63.58875300000000,-154.49306200000000,368,10,433,55,2.2,1636
United States of America,Arizona,35.20105000000000,-91.83183300000000,4657,904,19258,13697,1.9,13846
United States of America,Arkansas,34.04892800000000,-111.09373100000000,5166,133,7013,1714,3.2,9517
United States of America,California,36.77826100000000,-119.41793200000000,null,4144,109895,105751,1.8,72511
United States of America,Colorado,39.55005100000000,-105.78206700000000,3859,1443,26084,20782,1.9,10574
United States of America,Connecticut,41.60322100000000,-73.08774900000000,7127,3912,42022,30983,2.0,7194
United States of America,Delaware,38.91083200000000,-75.52767000000000,5205,361,9422,3856,4.4,3114
United States of America,District of Columbia,38.90598500000000,-77.03341800000000,1100,462,8717,7155,2.2,2101
United States of America,Florida,27.66482700000000,-81.51575400000000,null,2447,55424,52977,2.6,54744
United States of America,Georgia,32.15743500000000,-82.90712300000000,null,2004,46331,44327,2.4,25114
United States of America,Hawaii,19.89868200000000,-155.66585700000000,605,17,651,29,1.9,2749
United States of America,Idaho,44.06820200000000,-114.74204100000000,2225,82,2803,496,1.9,3396
United States of America,Illinois,40.63312500000000,-89.39852800000000,null,5330,118917,113587,2.5,32066
United States of America,Indiana,40.55121700000000,-85.60236400000000,null,2125,34211,32086,2.7,18156
United States of America,Iowa,41.87800300000000,-93.09770200000000,11019,531,19244,7694,3.0,9423
United States of America,Kansas,39.01190200000000,-98.48424600000000,547,215,9690,8928,3.3,9659
United States of America,Kentucky,37.83933300000000,-84.27001800000000,3231,431,9704,6042,3.2,14329
United States of America,Louisiana,31.24482300000000,-92.14502400000000,28700,2786,39577,8091,3.3,15272
United States of America,Maine,45.25378300000000,-69.44546900000000,1505,89,2282,688,2.5,3400
United States of America,Maryland,39.04575500000000,-76.64127100000000,3649,2509,52015,45857,1.9,11577
United States of America,Massachusetts,42.40721100000000,-71.38243700000000,null,6768,96301,89533,2.3,15649
United States of America,Michigan,44.31484400000000,-85.60236400000000,38099,5464,56969,13406,2.5,24949
United States of America,Minnesota,46.72955300000000,-94.68590000000000,17864,1036,24190,5290,2.5,13895
United States of America,Mississippi,32.35466800000000,-89.39852800000000,9401,723,15229,5105,4.0,12071
United States of America,Missouri,37.96425300000000,-91.83183300000000,null,774,13298,12524,3.1,18749
United States of America,Montana,46.87968200000000,-110.36256600000000,448,17,505,40,3.3,3542
United States of America,Nebraska,41.49253700000000,-99.90181300000000,null,170,13905,13735,3.6,6842
United States of America,Nevada,38.80261000000000,-116.41938900000000,428,417,8517,7672,2.1,6493
United States of America,New Hampshire,43.19385200000000,-71.57239500000000,2802,238,4492,1452,2.1,2783
United States of America,New Jersey,40.05832400000000,-74.40566100000000,26301,11634,159608,121673,2.4,20901
United States of America,New Mexico,34.97273000000000,-105.03236300000000,2728,351,7624,4545,1.8,3811
United States of America,New York,43.29942800000000,-74.21793300000000,65609,29710,369660,274341,2.7,51927
United States of America,North Carolina,35.75957300000000,-79.01930000000000,14954,929,27794,11911,2.1,21549
United States of America,North Dakota,47.55149300000000,-101.00201200000000,1943,60,2554,551,4.3,3235
United States of America,Ohio,40.41728700000000,-82.90712300000000,null,2149,35033,32884,2.8,33157
United States of America,Oklahoma,35.00775200000000,-97.09287700000000,5435,334,6418,649,2.8,11144
United States of America,Oregon,43.80413300000000,-120.55420100000000,2137,153,4185,1895,1.6,6889
United States of America,Pennsylvania,41.20332200000000,-77.19452500000000,47133,5537,75697,23027,2.9,36730
United States of America,Rhode Island,41.58009500000000,-71.47742900000000,1225,711,14819,12883,2.1,2187
United States of America,South Carolina,33.83608100000000,-81.16372500000000,6459,487,11394,4448,2.4,12120
United States of America,South Dakota,43.96951500000000,-99.90181300000000,3805,62,4960,1093,4.8,4183
United States of America,Tennessee,35.51749100000000,-86.58044700000000,15193,364,22566,7009,2.9,19387
United States of America,Texas,31.96859900000000,-99.90181300000000,40068,1652,62675,20955,2.3,65671
United States of America,Utah,39.32098000000000,-111.09373100000000,5995,112,9533,3426,1.8,5767
United States of America,Vermont,37.43157300000000,-78.65689400000000,865,55,977,57,2.1,1305
United States of America,Virginia,44.55880300000000,-72.57784100000000,5745,1370,43611,36496,2.1,18065
United States of America,Washington,47.75107400000000,-120.74013900000000,null,1118,21349,20231,1.7,12774
United States of America,West Virginia,43.78444000000000,-88.78786800000000,1290,75,1989,624,3.8,6868
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,11338,588,18230,6304,2.1,12103
United States of America,Wyoming,43.07596800000000,-107.29028400000000,658,16,898,224,3.5,2015
